1, plains, minecraft:plains, MONSTER, minecraft:spider, 80, 4, 4
2, plains, minecraft:plains, MONSTER, minecraft:zombie, 80, 4, 4
3, plains, minecraft:plains, MONSTER, minecraft:zombie_villager, 5, 1, 1
4, plains, minecraft:plains, MONSTER, minecraft:skeleton, 80, 4, 4
5, plains, minecraft:plains, MONSTER, minecraft:creeper, 80, 4, 4
6, plains, minecraft:plains, MONSTER, minecraft:slime, 80, 4, 4
7, plains, minecraft:plains, MONSTER, minecraft:enderman, 5, 1, 4
8, plains, minecraft:plains, MONSTER, minecraft:witch, 5, 1, 1
9, plains, minecraft:plains, MONSTER, feywild:dwarf_blacksmith, 5, 1, 1
10, plains, minecraft:plains, CREATURE, minecraft:sheep, 12, 8, 8
11, plains, minecraft:plains, CREATURE, minecraft:cow, 8, 8, 8
12, plains, minecraft:plains, CREATURE, minecraft:horse, 5, 2, 6
13, plains, minecraft:plains, CREATURE, minecraft:donkey, 5, 1, 3
14, plains, minecraft:plains, CREATURE, crittersandcompanions:ferret, 5, 2, 3
15, plains, minecraft:plains, CREATURE, ars_nouveau:drygmy, 5, 1, 2
16, plains, minecraft:plains, CREATURE, ars_nouveau:starbuncle, 5, 1, 2
17, plains, minecraft:plains, CREATURE, ars_nouveau:gift_starby, 5, 1, 1
18, plains, minecraft:plains, CREATURE, feywild:autumn_pixie, 5, 1, 1
19, plains, minecraft:plains, CREATURE, feywild:spring_pixie, 5, 1, 1
20, plains, minecraft:plains, CREATURE, ars_nouveau:whirlisprig, 5, 1, 2
21, plains, minecraft:plains, CREATURE, ecologics:squirrel, 10, 2, 3
22, plains, minecraft:plains, AMBIENT, minecraft:bat, 10, 8, 8
23, plains, minecraft:plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
24, none, minecraft:sunflower_plains, MONSTER, minecraft:spider, 80, 4, 4
25, none, minecraft:sunflower_plains, MONSTER, minecraft:zombie, 80, 4, 4
26, none, minecraft:sunflower_plains, MONSTER, minecraft:zombie_villager, 5, 1, 1
27, none, minecraft:sunflower_plains, MONSTER, minecraft:skeleton, 80, 4, 4
28, none, minecraft:sunflower_plains, MONSTER, minecraft:creeper, 80, 4, 4
29, none, minecraft:sunflower_plains, MONSTER, minecraft:slime, 80, 4, 4
30, none, minecraft:sunflower_plains, MONSTER, minecraft:enderman, 5, 1, 4
31, none, minecraft:sunflower_plains, MONSTER, minecraft:witch, 5, 1, 1
32, none, minecraft:sunflower_plains, MONSTER, feywild:dwarf_blacksmith, 5, 1, 1
33, none, minecraft:sunflower_plains, CREATURE, minecraft:sheep, 12, 8, 8
34, none, minecraft:sunflower_plains, CREATURE, minecraft:cow, 8, 8, 8
35, none, minecraft:sunflower_plains, CREATURE, minecraft:horse, 5, 2, 6
36, none, minecraft:sunflower_plains, CREATURE, minecraft:donkey, 5, 1, 3
37, none, minecraft:sunflower_plains, CREATURE, crittersandcompanions:ferret, 5, 2, 3
38, none, minecraft:sunflower_plains, CREATURE, ars_nouveau:drygmy, 5, 1, 2
39, none, minecraft:sunflower_plains, CREATURE, friendsandfoes:moobloom, 5, 2, 4
40, none, minecraft:sunflower_plains, CREATURE, ars_nouveau:starbuncle, 5, 1, 2
41, none, minecraft:sunflower_plains, CREATURE, ars_nouveau:gift_starby, 5, 1, 1
42, none, minecraft:sunflower_plains, CREATURE, feywild:autumn_pixie, 5, 1, 1
43, none, minecraft:sunflower_plains, CREATURE, feywild:spring_pixie, 5, 1, 1
44, none, minecraft:sunflower_plains, CREATURE, ars_nouveau:whirlisprig, 5, 1, 2
45, none, minecraft:sunflower_plains, AMBIENT, minecraft:bat, 10, 8, 8
46, none, minecraft:sunflower_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
47, icy, minecraft:snowy_plains, MONSTER, minecraft:spider, 80, 4, 4
48, icy, minecraft:snowy_plains, MONSTER, minecraft:zombie, 80, 4, 4
49, icy, minecraft:snowy_plains, MONSTER, minecraft:zombie_villager, 5, 1, 1
50, icy, minecraft:snowy_plains, MONSTER, minecraft:skeleton, 20, 4, 4
51, icy, minecraft:snowy_plains, MONSTER, minecraft:slime, 80, 4, 4
52, icy, minecraft:snowy_plains, MONSTER, minecraft:enderman, 5, 1, 4
53, icy, minecraft:snowy_plains, MONSTER, minecraft:witch, 5, 1, 1
54, icy, minecraft:snowy_plains, MONSTER, minecraft:stray, 80, 4, 4
55, icy, minecraft:snowy_plains, MONSTER, creeperoverhaul:snowy_creeper, 75, 2, 2
