1, plains, minecraft:plains, MONSTER, minecraft:spider, 80, 4, 4
2, plains, minecraft:plains, MONSTER, minecraft:zombie, 80, 4, 4
3, plains, minecraft:plains, MONSTER, minecraft:zombie_villager, 5, 1, 1
4, plains, minecraft:plains, MONSTER, minecraft:skeleton, 80, 4, 4
5, plains, minecraft:plains, MONSTER, minecraft:creeper, 80, 4, 4
6, plains, minecraft:plains, MONSTER, minecraft:slime, 80, 4, 4
7, plains, minecraft:plains, MONSTER, minecraft:enderman, 5, 1, 4
8, plains, minecraft:plains, MONSTER, minecraft:witch, 5, 1, 1
9, plains, minecraft:plains, CREATURE, minecraft:sheep, 12, 8, 8
10, plains, minecraft:plains, CREATURE, minecraft:cow, 8, 8, 8
11, plains, minecraft:plains, CREATURE, minecraft:horse, 5, 2, 6
12, plains, minecraft:plains, CREATURE, minecraft:donkey, 5, 1, 3
13, plains, minecraft:plains, CREATURE, crittersandcompanions:ferret, 5, 2, 3
14, plains, minecraft:plains, CREATURE, ars_nouveau:drygmy, 5, 1, 2
15, plains, minecraft:plains, CREATURE, ars_nouveau:starbuncle, 5, 1, 2
16, plains, minecraft:plains, CREATURE, ars_nouveau:gift_starby, 5, 1, 1
17, plains, minecraft:plains, CREATURE, ars_nouveau:whirlisprig, 5, 1, 2
18, plains, minecraft:plains, CREATURE, ecologics:squirrel, 10, 2, 3
19, plains, minecraft:plains, AMBIENT, minecraft:bat, 10, 8, 8
20, plains, minecraft:plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
21, none, minecraft:sunflower_plains, MONSTER, minecraft:spider, 80, 4, 4
22, none, minecraft:sunflower_plains, MONSTER, minecraft:zombie, 80, 4, 4
23, none, minecraft:sunflower_plains, MONSTER, minecraft:zombie_villager, 5, 1, 1
24, none, minecraft:sunflower_plains, MONSTER, minecraft:skeleton, 80, 4, 4
25, none, minecraft:sunflower_plains, MONSTER, minecraft:creeper, 80, 4, 4
26, none, minecraft:sunflower_plains, MONSTER, minecraft:slime, 80, 4, 4
27, none, minecraft:sunflower_plains, MONSTER, minecraft:enderman, 5, 1, 4
28, none, minecraft:sunflower_plains, MONSTER, minecraft:witch, 5, 1, 1
29, none, minecraft:sunflower_plains, CREATURE, minecraft:sheep, 12, 8, 8
30, none, minecraft:sunflower_plains, CREATURE, minecraft:cow, 8, 8, 8
31, none, minecraft:sunflower_plains, CREATURE, minecraft:horse, 5, 2, 6
32, none, minecraft:sunflower_plains, CREATURE, minecraft:donkey, 5, 1, 3
33, none, minecraft:sunflower_plains, CREATURE, crittersandcompanions:ferret, 5, 2, 3
34, none, minecraft:sunflower_plains, CREATURE, ars_nouveau:drygmy, 5, 1, 2
35, none, minecraft:sunflower_plains, CREATURE, friendsandfoes:moobloom, 5, 2, 4
36, none, minecraft:sunflower_plains, CREATURE, ars_nouveau:starbuncle, 5, 1, 2
37, none, minecraft:sunflower_plains, CREATURE, ars_nouveau:gift_starby, 5, 1, 1
38, none, minecraft:sunflower_plains, CREATURE, ars_nouveau:whirlisprig, 5, 1, 2
39, none, minecraft:sunflower_plains, AMBIENT, minecraft:bat, 10, 8, 8
40, none, minecraft:sunflower_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
41, icy, minecraft:snowy_plains, MONSTER, minecraft:spider, 80, 4, 4
42, icy, minecraft:snowy_plains, MONSTER, minecraft:zombie, 80, 4, 4
43, icy, minecraft:snowy_plains, MONSTER, minecraft:zombie_villager, 5, 1, 1
44, icy, minecraft:snowy_plains, MONSTER, minecraft:skeleton, 20, 4, 4
45, icy, minecraft:snowy_plains, MONSTER, minecraft:slime, 80, 4, 4
46, icy, minecraft:snowy_plains, MONSTER, minecraft:enderman, 5, 1, 4
47, icy, minecraft:snowy_plains, MONSTER, minecraft:witch, 5, 1, 1
48, icy, minecraft:snowy_plains, MONSTER, minecraft:stray, 80, 4, 4
49, icy, minecraft:snowy_plains, MONSTER, creeperoverhaul:snowy_creeper, 75, 2, 2
50, icy, minecraft:snowy_plains, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
51, icy, minecraft:snowy_plains, CREATURE, minecraft:rabbit, 10, 2, 3
52, icy, minecraft:snowy_plains, CREATURE, minecraft:polar_bear, 5, 1, 2
53, icy, minecraft:snowy_plains, CREATURE, finsandtails:wherble, 5, 2, 6
54, icy, minecraft:snowy_plains, CREATURE, crittersandcompanions:shima_enaga, 5, 2, 3
55, icy, minecraft:snowy_plains, CREATURE, ars_nouveau:drygmy, 5, 1, 2
